Glass,Rw,Rw+C,Rw+Ctr,125Hz,250Hz,500Hz,1kHz,2kHz
Pilkinton-4-16-4,29,28,25,21,17,25,35,37
Pilkinton-6-16-4,32,30,28,21,20,26,38,37
Pilkinton-6-16-6,31,30,27,20,18,28,38,34
Pilkinton-8-16-4,33,32,29,22,21,28,38,40
Pilkinton-8-16-6,35,33,29,20,21,33,40,36
Pilkinton-10-16-4,35,33,30,24,21,32,37,42
Pilkinton-10-16-6,35,34,32,24,24,32,37,37
Pilkinton-6-16-6-lam,33,31,28,20,19,30,39,37
Pilkinton-6-16-10-lam,37,36,32,24,25,33,39,40
Pilkington-6-16-6.8,38,36,33,22,27,35,42,41
Pilkington-6-16-8.8,41,38,34,24,26,40,48,46
Pilkington-8-16-9.1,43,40,36,24,29,41,47,47
Pilkington-10-16-9.1,45,43,40,29,33,44,46,49
Pilkington-8.8-16-12.8,47,45,40,26,36,46,50,52
Pilkington-9.1-20-13.1,50,47,42,29,39,49,52,55
Guardian-4-12-8.8,36,34,31,26,24,33,43,46
Guardian-4-16-6,34,33,29,24,21,29,43,43
Guardian-4-16-7.5,37,35,31,23,23,34,46,50
Guardian-4-16-8,35,33,30,25,22,32,41,45
Guardian-4-16-8.8,39,38,34,24,27,36,47,49
Guardian-4-16-10,37,35,31,27,23,33,41,48
Guardian-6-12-8.8,40,37,33,27,25,42,49,45
Guardian-6-14-8.4,43,40,35,25,29,47,53,51
Guardian-6-16-8.4,42,40,36,26,29,40,50,49
Guardian-6-16-8.8,38,37,33,26,27,36,43,42
Guardian-6-16-8.8,41,39,35,24,28,39,48,46
Guardian-6-16-9.5,41,39,35,24,28,39,49,45
Guardian-6-16-9.5,39,37,33,24,26,39,45,42
Guardian-6-24-11.0,39,37,33,23,27,40,45,41
Guardian-6-18-8.8,41,39,34,22,29,40,47,46
Guardian-6-18-9.5,42,40,36,25,29,40,48,47
Guardian-6-20-8.4,43,41,36,24,31,41,50,51
Guardian-8-16-8.8,37,36,32,26,26,34,41,41
Guardian-8-16-8.8,42,40,35,24,31,34,40,51
Guardian-8-16-9.5,38,37,33,26,27,36,41,42
Guardian-8-16-10.8,42,40,36,24,31,41,46,46
Guardian-8-16-12.8,43,41,37,25,34,41,44,46
Guardian-8-16-13.1,43,41,37,26,33,42,45,46
Guardian-8-18-10.8,43,41,37,25,32,42,48,49
Guardian-8-20-8.4,44,41,37,25,32,43,49,50
Guardian-8.4-16-10.4,46,44,39,26,34,45,52,57
Guardian-8.8-16-12.8,47,45,41,28,38,46,50,54
Guardian-8.8-16-13.1,48,45,40,28,37,46,51,54
Guardian-8.8-20-10,45,43,39,26,36,44,47,49
Guardian-8.8-20-12.8,49,47,42,29,40,48,51,54
Guardian-8.8-20--16.8,49,48,44,33,39,46,51,57
Guardian-8.8-20-16.8,50,49,44,31,41,48,53,58
Guardian-9.1-16-13.1,49,46,42,29,40,47,51,53
Guardian-9.1-20-13.1,50,48,43,30,41,48,51,53
Guardian-9.5-16-10,45,42,38,26,34,44,47,50
Guardian-10-16-8.4,44,42,38,25,33,43,48,51
Guardian-10-16-10.8,45,43,38,27,34,43,47,52
Guardian-10-16-13.1,45,44,41,31,37,45,44,47
Guardian-12.8-16-16.8,51,50,46,34,41,47,53,61
